Agent_ID,Agent_Name,Vertical,Subvertical,Role_Type,Archetype_ID,Archetype_Name,Avatar,Primary_Template,Secondary_Template,Primary_System_Range,Secondary_System_Range,Tertiary_System_Range,Generator_Models,Capability,Trust,Activation,Synergy,Risk,Evolution,MAS,Health_Status
AGT-020,Housing Assistance Agent,social_services,housing,Vertical,5,Caregiver,Seren,Care,,51-70,,,[GEN-010],86,84,81,88,5,77,80.15,ACTIVE
AGT-021,Child Protective Services Agent,social_services,child_protection,Vertical,73,Protector,Axel,Legal,,1-30,,,[GEN-010],91,89,87,93,6,83,84.80,ACTIVE
AGT-022,Disability Services Agent,social_services,disability,Vertical,5,Caregiver,Seren,Care,,51-70,,,[GEN-010],89,87,84,91,5,80,82.80,ACTIVE
AGT-023,Senior Services Agent,social_services,senior,Vertical,5,Caregiver,Seren,Care,,51-70,,,[GEN-010],88,86,83,90,5,79,81.85,ACTIVE
AGT-024,Community Outreach Agent,social_services,outreach,Vertical,74,Emissary,Liora,Care,,51-70,,,[GEN-010],85,83,80,87,5,76,78.60,ACTIVE
AGT-025,Health Optimization Agent,health,wellness,Vertical,35,Healer,Seren,Care,,51-70,,,[GEN-011,GEN-091],91,88,87,92,4,82,84.45,ACTIVE
AGT-026,Telemedicine Agent,health,telemedicine,Vertical,35,Healer,Seren,Care,,51-70,,,[GEN-011],90,87,86,91,4,81,83.60,ACTIVE
AGT-027,Nutrition Agent,health,nutrition,Vertical,35,Healer,Seren,Care,,51-70,,,[GEN-011],88,85,84,89,4,80,81.90,ACTIVE
AGT-028,Fitness Agent,health,fitness,Vertical,35,Healer,Seren,Care,,51-70,,,[GEN-011],86,83,82,87,4,78,80.10,ACTIVE
AGT-029,Chronic Disease Agent,health,chronic,Vertical,35,Healer,Seren,Care,,51-70,,,[GEN-011],92,89,88,93,5,84,85.00,ACTIVE
AGT-030,Mental Wellness Agent,health,mental_wellness,Vertical,35,Healer,Seren,Care,,51-70,,,[GEN-011],91,88,87,92,4,83,84.55,ACTIVE
AGT-031,Preventive Care Agent,health,preventive,Vertical,35,Healer,Seren,Care,,51-70,,,[GEN-011],90,87,86,91,4,82,83.70,ACTIVE
AGT-032,Health Insurance Agent,health,insurance,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-011],89,86,85,90,5,81,82.70,ACTIVE
AGT-033,Executive Front Desk,corporate,admin,Vertical,24,Guardian,Axel,Operations,,71-90,,,[GEN-012],88,84,82,89,5,77,80.45,ACTIVE
AGT-034,Corporate Strategy Agent,corporate,strategy,Vertical,18,Visionary,Nova,Operations,,141-155,,,[GEN-012],90,87,85,92,5,80,83.15,ACTIVE
AGT-035,HR Agent,corporate,hr,Vertical,40,Mentor,Orion,Operations,,141-155,,,[GEN-012],86,83,81,88,5,76,79.45,ACTIVE
AGT-036,Corporate Finance Agent,corporate,finance,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-012],89,86,84,91,5,79,82.45,ACTIVE
AGT-037,Corporate Legal Agent,corporate,legal,Vertical,60,Advocate,Liora,Legal,,1-30,,,[GEN-012],88,85,83,90,5,78,81.60,ACTIVE
AGT-038,Corporate Communications Agent,corporate,communications,Vertical,2,Lover,Liora,Content,,71-90,,,[GEN-012],87,84,82,89,4,77,80.85,ACTIVE
AGT-039,Corporate IT Agent,corporate,it,Vertical,38,Builder,Nova,AI,,121-140,,,[GEN-012],85,82,80,87,5,75,78.30,ACTIVE
AGT-040,Corporate Procurement Agent,corporate,procurement,Vertical,27,Merchant,Liora,Revenue,,141-155,,,[GEN-012],84,81,79,86,5,74,77.35,ACTIVE
AGT-041,Luxury Brand Agent,luxury,brand,Vertical,78,Siren,Liora,Revenue,,141-155,,,[GEN-013],86,82,80,87,5,76,78.20,ACTIVE
AGT-042,Luxury Concierge Agent,luxury,concierge,Vertical,78,Siren,Liora,Operations,,141-155,,,[GEN-013],88,84,82,89,5,78,80.30,ACTIVE
AGT-043,Luxury Goods Agent,luxury,goods,Vertical,27,Merchant,Liora,Revenue,,141-155,,,[GEN-013],85,81,79,86,5,75,77.25,ACTIVE
AGT-044,Luxury Travel Agent,luxury,travel,Vertical,78,Siren,Liora,Travel,,141-155,,,[GEN-013],87,83,81,88,5,77,79.05,ACTIVE
AGT-045,Luxury Events Agent,luxury,events,Vertical,18,Visionary,Nova,Events,,141-155,,,[GEN-013],86,82,80,87,5,76,78.20,ACTIVE
AGT-046,Luxury Real Estate Agent,luxury,real_estate,Vertical,66,Architect,Nova,Revenue,,141-155,,,[GEN-013],89,85,83,90,5,79,81.15,ACTIVE
AGT-047,Luxury Automotive Agent,luxury,automotive,Vertical,13,Hero,Axel,Revenue,,141-155,,,[GEN-013],84,80,78,83,6,74,75.50,ACTIVE
AGT-048,Luxury Investment Agent,luxury,investment,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-013],88,84,82,89,5,78,80.30,ACTIVE
AGT-049,Athlete Brand Agent,sports,branding,Vertical,7,Creator,Nova,Content,,71-90,,,[GEN-014],86,82,80,87,5,76,78.20,ACTIVE
AGT-050,Sports Performance Agent,sports,performance,Vertical,31,Scientist,Orion,Operations,,141-155,,,[GEN-014,GEN-063],88,84,82,89,5,78,80.30,ACTIVE
AGT-051,Sports Contract Agent,sports,contract,Vertical,27,Merchant,Liora,Revenue,,141-155,,,[GEN-014,GEN-064],85,81,79,86,5,75,77.25,ACTIVE
AGT-052,Sports Media Agent,sports,media,Vertical,39,Storyteller,Nova,Content,,71-90,,,[GEN-014],87,83,81,88,5,77,79.05,ACTIVE
AGT-053,Sports Health Agent,sports,health,Vertical,35,Healer,Seren,Care,,51-70,,,[GEN-014],90,86,85,91,5,80,82.85,ACTIVE
AGT-054,Sports Analytics Agent,sports,analytics,Vertical,31,Scientist,Orion,Analytics,,141-155,,,[GEN-014],89,85,83,90,5,79,81.15,ACTIVE
AGT-055,Product-Market Fit Agent,tech,strategy,Vertical,7,Creator,Nova,Revenue,,141-155,,,[GEN-015],88,84,83,87,5,77,79.80,ACTIVE
AGT-056,Tech Operations Agent,tech,operations,Vertical,38,Builder,Nova,Operations,,141-155,,,[GEN-015],87,83,81,88,5,76,78.85,ACTIVE
AGT-057,Tech Revenue Agent,tech,revenue,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-015],89,85,84,90,5,79,81.35,ACTIVE
AGT-058,Tech Talent Agent,tech,talent,Vertical,40,Mentor,Orion,Operations,,141-155,,,[GEN-015],86,82,80,87,5,75,78.20,ACTIVE
AGT-059,Tech IP Agent,tech,ip,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-015],90,86,85,91,5,80,82.85,ACTIVE
AGT-060,Tech Compliance Agent,tech,compliance,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-015],88,84,82,89,5,78,80.30,ACTIVE
AGT-061,Civic Infrastructure Agent,government,infrastructure,Vertical,31,Scientist,Orion,Governance,,91-100,,,[GEN-016],87,83,81,86,6,76,78.20,ACTIVE
AGT-062,Government Policy Agent,government,policy,Vertical,60,Advocate,Liora,Governance,,91-100,,,[GEN-016],88,84,82,89,5,78,80.30,ACTIVE
AGT-063,Government Services Agent,government,services,Vertical,5,Caregiver,Seren,Care,,51-70,,,[GEN-016],86,82,80,87,5,76,78.20,ACTIVE
AGT-064,Government Budget Agent,government,budget,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-016],89,85,83,90,5,79,81.15,ACTIVE
AGT-065,Government Transparency Agent,government,transparency,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-016],90,86,85,91,5,80,82.85,ACTIVE
AGT-066,Government Digital Agent,government,digital,Vertical,38,Builder,Nova,Operations,,141-155,,,[GEN-016],87,83,81,88,5,77,79.05,ACTIVE
AGT-067,Creator Identity Agent,creator,identity,Vertical,66,Architect,Nova,Content,,71-90,,,[GEN-017],90,86,85,91,4,80,83.55,ACTIVE
AGT-068,Creator Content Agent,creator,content,Vertical,7,Creator,Nova,Content,,71-90,,,[GEN-017],89,85,83,90,5,79,81.15,ACTIVE
AGT-069,Creator Monetization Agent,creator,monetization,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-017,GEN-071],88,84,82,89,5,78,80.30,ACTIVE
AGT-070,Creator Community Agent,creator,community,Vertical,40,Mentor,Orion,Care,,51-70,,,[GEN-017],87,83,81,88,5,77,79.05,ACTIVE
AGT-071,Creator Analytics Agent,creator,analytics,Vertical,31,Scientist,Orion,Analytics,,141-155,,,[GEN-017,GEN-072],90,86,85,91,5,80,82.85,ACTIVE
AGT-072,Creator Legal Agent,creator,legal,Vertical,60,Advocate,Liora,Legal,,1-30,,,[GEN-017],88,84,82,89,5,78,80.30,ACTIVE
AGT-073,Legacy Estate Agent,legacy,estate,Vertical,42,Elder,Orion,Revenue,,141-155,,,[GEN-018,GEN-073,GEN-074],89,85,83,90,5,79,81.15,ACTIVE
AGT-074,Legacy Trust Agent,legacy,trust,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-018,GEN-074],90,86,85,91,5,80,82.85,ACTIVE
AGT-075,Legacy Philanthropy Agent,legacy,philanthropy,Vertical,5,Caregiver,Seren,Care,,51-70,,,[GEN-018],87,83,81,88,5,77,79.05,ACTIVE
AGT-076,Legacy Inheritance Agent,legacy,inheritance,Vertical,60,Advocate,Liora,Legal,,1-30,,,[GEN-018],88,84,82,89,5,78,80.30,ACTIVE
AGT-077,Legacy Planning Agent,legacy,planning,Vertical,66,Architect,Nova,Operations,,141-155,,,[GEN-018],86,82,80,87,5,76,78.20,ACTIVE
AGT-078,Legacy Family Office Agent,legacy,family_office,Vertical,27,Merchant,Liora,Revenue,,141-155,,,[GEN-018],85,81,79,86,5,75,77.25,ACTIVE
AGT-079,Beauty Brand Agent,beauty,branding,Vertical,7,Creator,Nova,Content,,71-90,,,[GEN-019],86,82,80,87,5,76,78.20,ACTIVE
AGT-080,Beauty Product Agent,beauty,product,Vertical,30,Artist,Nova,Content,,71-90,,,[GEN-019,GEN-075],88,84,82,89,5,78,80.30,ACTIVE
AGT-081,Beauty Salon Agent,beauty,salon,Vertical,35,Healer,Seren,Care,,51-70,,,[GEN-019],85,81,79,86,5,75,77.25,ACTIVE
AGT-082,Beauty Supply Chain Agent,beauty,supply_chain,Vertical,38,Builder,Nova,Operations,,141-155,,,[GEN-019,GEN-076],87,83,81,88,5,77,79.05,ACTIVE
AGT-083,Beauty Trends Agent,beauty,trends,Vertical,39,Storyteller,Nova,Content,,71-90,,,[GEN-019],86,82,80,87,5,76,78.20,ACTIVE
AGT-084,Beauty Wellness Agent,beauty,wellness,Vertical,35,Healer,Seren,Care,,51-70,,,[GEN-019],89,85,83,90,5,79,81.15,ACTIVE
AGT-085,Travel Concierge Agent,travel,concierge,Vertical,78,Siren,Liora,Travel,,71-90,,,[GEN-020,GEN-078],90,86,85,91,5,80,82.85,ACTIVE
AGT-086,Travel Booking Agent,travel,booking,Vertical,27,Merchant,Liora,Revenue,,141-155,,,[GEN-020],88,84,82,89,5,78,80.30,ACTIVE
AGT-087,Travel Experience Agent,travel,experience,Vertical,39,Storyteller,Nova,Content,,71-90,,,[GEN-020],87,83,81,88,5,77,79.05,ACTIVE
AGT-088,Travel Safety Agent,travel,safety,Vertical,73,Protector,Axel,Crisis,,51-70,,,[GEN-020],89,85,83,90,5,79,81.15,ACTIVE
AGT-089,Travel Logistics Agent,travel,logistics,Vertical,38,Builder,Nova,Operations,,141-155,,,[GEN-020],86,82,80,87,5,76,78.20,ACTIVE
AGT-090,Travel Sustainability Agent,travel,sustainability,Vertical,35,Healer,Seren,Sustainability,,91-100,,,[GEN-020],88,84,82,89,5,78,80.30,ACTIVE
AGT-091,Legal Practice Agent,legal,practice,Vertical,13,Hero,Axel,Governance,,1-30,,,[GEN-021,GEN-079],89,85,83,90,5,79,81.15,ACTIVE
AGT-092,Legal Contract Agent,legal,contract,Vertical,60,Advocate,Liora,Legal,,1-30,,,[GEN-021],90,86,85,91,5,80,82.85,ACTIVE
AGT-093,Legal Discovery Agent,legal,discovery,Vertical,31,Scientist,Orion,Legal,,1-30,,,[GEN-021,GEN-080],88,84,82,89,5,78,80.30,ACTIVE
AGT-094,Legal Compliance Agent,legal,compliance,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-021],91,87,86,92,5,81,83.85,ACTIVE
AGT-095,Legal Litigation Agent,legal,litigation,Vertical,60,Advocate,Liora,Legal,,1-30,,,[GEN-021],92,88,87,93,5,82,84.85,ACTIVE
AGT-096,Legal Mediation Agent,legal,mediation,Vertical,74,Emissary,Liora,Legal,,1-30,,,[GEN-021],87,83,81,88,5,77,79.05,ACTIVE
AGT-097,Media Production Agent,media,production,Vertical,7,Creator,Nova,Content,,71-90,,,[GEN-022,GEN-082],88,84,82,89,5,78,80.30,ACTIVE
AGT-098,Media Distribution Agent,media,distribution,Vertical,68,Pathfinder,Quest,Revenue,,141-155,,,[GEN-022],86,82,80,87,5,76,78.20,ACTIVE
AGT-099,Media Rights Agent,media,rights,Vertical,27,Merchant,Liora,Legal,,1-30,,,[GEN-022,GEN-081],89,85,83,90,5,79,81.15,ACTIVE
AGT-100,Media Analytics Agent,media,analytics,Vertical,31,Scientist,Orion,Analytics,,141-155,,,[GEN-022],90,86,85,91,5,80,82.85,ACTIVE
AGT-101,Media Branding Agent,media,branding,Vertical,39,Storyteller,Nova,Content,,71-90,,,[GEN-022],87,83,81,88,5,77,79.05,ACTIVE
AGT-102,Media Compliance Agent,media,compliance,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-022],88,84,82,89,5,78,80.30,ACTIVE
AGT-103,Food Recipe Agent,food,recipe,Vertical,30,Artist,Nova,Content,,71-90,,,[GEN-023],86,82,80,87,5,76,78.20,ACTIVE
AGT-104,Food Nutrition Agent,food,nutrition,Vertical,35,Healer,Seren,Care,,51-70,,,[GEN-023],88,84,82,89,5,78,80.30,ACTIVE
AGT-105,Food Supply Chain Agent,food,supply_chain,Vertical,38,Builder,Nova,Operations,,141-155,,,[GEN-023],87,83,81,88,5,77,79.05,ACTIVE
AGT-106,Food Safety Agent,food,safety,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-023,GEN-084],89,85,83,90,5,79,81.15,ACTIVE
AGT-107,Food Trends Agent,food,trends,Vertical,39,Storyteller,Nova,Content,,71-90,,,[GEN-023],85,81,79,86,5,75,77.25,ACTIVE
AGT-108,Food Commerce Agent,food,commerce,Vertical,27,Merchant,Liora,Revenue,,141-155,,,[GEN-023],88,84,82,89,5,78,80.30,ACTIVE
AGT-109,Events Planning Agent,events,planning,Vertical,18,Visionary,Nova,Operations,,141-155,,,[GEN-024],87,83,81,88,5,77,79.05,ACTIVE
AGT-110,Events Operations Agent,events,operations,Vertical,38,Builder,Nova,Operations,,141-155,,,[GEN-024],86,82,80,87,5,76,78.20,ACTIVE
AGT-111,Events Logistics Agent,events,logistics,Vertical,68,Pathfinder,Quest,Operations,,141-155,,,[GEN-024],85,81,79,86,5,75,77.25,ACTIVE
AGT-112,Events Marketing Agent,events,marketing,Vertical,7,Creator,Nova,Content,,71-90,,,[GEN-024],88,84,82,89,5,78,80.30,ACTIVE
AGT-113,Events Compliance Agent,events,compliance,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-024],89,85,83,90,5,79,81.15,ACTIVE
AGT-114,Events Revenue Agent,events,revenue,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-024],90,86,85,91,5,80,82.85,ACTIVE
AGT-115,AI Workflow Agent,ai,automation,Vertical,38,Builder,Nova,AI,,121-140,,,[GEN-025,GEN-085],92,89,88,93,4,83,85.05,ACTIVE
AGT-116,AI Model Agent,ai,model,Vertical,31,Scientist,Orion,AI,,121-140,,,[GEN-025],91,88,87,92,4,82,84.45,ACTIVE
AGT-117,AI Data Agent,ai,data,Vertical,31,Scientist,Orion,AI,,121-140,,,[GEN-025],90,87,86,91,4,81,83.60,ACTIVE
AGT-118,AI Ethics Agent,ai,ethics,Vertical,60,Advocate,Liora,AI,,121-140,,,[GEN-025],93,90,89,94,4,85,86.15,ACTIVE
AGT-119,AI Deployment Agent,ai,deployment,Vertical,38,Builder,Nova,AI,,121-140,,,[GEN-025],89,86,85,90,4,80,82.70,ACTIVE
AGT-120,AI Integration Agent,ai,integration,Vertical,64,Conduit,Eden,AI,,121-140,,,[GEN-025,GEN-086],94,91,90,95,4,86,87.05,ACTIVE
AGT-121,Offer Architecture Agent,commerce,offer_design,Vertical,66,Architect,Nova,Revenue,,141-155,,,[GEN-026],91,88,86,92,5,81,83.85,ACTIVE
AGT-122,Commerce Checkout Agent,commerce,checkout,Vertical,27,Merchant,Liora,Revenue,,141-155,,,[GEN-026],89,86,84,90,5,79,81.95,ACTIVE
AGT-123,Commerce Fulfillment Agent,commerce,fulfillment,Vertical,38,Builder,Nova,Operations,,141-155,,,[GEN-026],88,85,83,89,5,78,80.95,ACTIVE
AGT-124,Commerce Pricing Agent,commerce,pricing,Vertical,66,Architect,Nova,Revenue,,141-155,,,[GEN-026],90,87,85,91,5,80,82.95,ACTIVE
AGT-125,Commerce Analytics Agent,commerce,analytics,Vertical,31,Scientist,Orion,Analytics,,141-155,,,[GEN-026],89,86,84,90,5,79,81.95,ACTIVE
AGT-126,Commerce Compliance Agent,commerce,compliance,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-026,GEN-087],88,85,83,89,5,78,80.95,ACTIVE
AGT-127,Curriculum Agent,education,curriculum,Vertical,26,Engineer,Nova,Content,,71-90,,,[GEN-027,GEN-088],87,83,81,86,5,77,78.60,ACTIVE
AGT-128,Education Delivery Agent,education,delivery,Vertical,40,Mentor,Orion,Content,,71-90,,,[GEN-027],88,84,82,89,5,78,80.30,ACTIVE
AGT-129,Education Assessment Agent,education,assessment,Vertical,31,Scientist,Orion,Content,,71-90,,,[GEN-027],89,85,83,90,5,79,81.15,ACTIVE
AGT-130,Education Technology Agent,education,technology,Vertical,38,Builder,Nova,AI,,121-140,,,[GEN-027],86,82,80,87,5,76,78.20,ACTIVE
AGT-131,Education Compliance Agent,education,compliance,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-027],90,86,85,91,5,80,82.85,ACTIVE
AGT-132,Education Funding Agent,education,funding,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-027],88,84,82,89,5,78,80.30,ACTIVE
AGT-133,Deal Sourcing Agent,finance,sourcing,Vertical,68,Pathfinder,Quest,Revenue,,141-155,,,[GEN-028],89,85,83,90,5,79,81.15,ACTIVE
AGT-134,Finance Modeling Agent,finance,modeling,Vertical,31,Scientist,Orion,Revenue,,141-155,,,[GEN-028],90,86,85,91,5,80,82.85,ACTIVE
AGT-135,Finance Due Diligence Agent,finance,due_diligence,Vertical,19,Judge,Orion,Governance,,1-30,,,[GEN-028,GEN-089],91,87,86,92,5,81,83.85,ACTIVE
AGT-136,Finance Compliance Agent,finance,compliance,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-028],88,84,82,89,5,78,80.30,ACTIVE
AGT-137,Finance Portfolio Agent,finance,portfolio,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-028],89,85,83,90,5,79,81.15,ACTIVE
AGT-138,Finance Risk Agent,finance,risk,Vertical,73,Protector,Axel,Governance,,1-30,,,[GEN-028],87,83,81,88,5,77,79.05,ACTIVE
AGT-139,Wealth Architecture Agent,wealth,architecture,Vertical,66,Architect,Nova,Revenue,,141-155,,,[GEN-029,GEN-090],90,86,85,91,5,80,82.85,ACTIVE
AGT-140,Wealth Planning Agent,wealth,planning,Vertical,66,Architect,Nova,Revenue,,141-155,,,[GEN-029],89,85,83,90,5,79,81.15,ACTIVE
AGT-141,Wealth Investment Agent,wealth,investment,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-029],91,87,86,92,5,81,83.85,ACTIVE
AGT-142,Wealth Tax Agent,wealth,tax,Vertical,19,Judge,Orion,Legal,,1-30,,,[GEN-029],88,84,82,89,5,78,80.30,ACTIVE
AGT-143,Wealth Protection Agent,wealth,protection,Vertical,73,Protector,Axel,Governance,,1-30,,,[GEN-029],90,86,85,91,5,80,82.85,ACTIVE
AGT-144,Wealth Legacy Agent,wealth,legacy,Vertical,42,Elder,Orion,Revenue,,141-155,,,[GEN-029],87,83,81,88,5,77,79.05,ACTIVE
AGT-145,Corporate M&A Agent,corporate_extended,m_a,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-030],90,86,85,91,5,80,82.85,ACTIVE
AGT-146,Corporate Restructuring Agent,corporate_extended,restructuring,Vertical,66,Architect,Nova,Operations,,141-155,,,[GEN-030],88,84,82,89,5,78,80.30,ACTIVE
AGT-147,Corporate Governance Agent,corporate_extended,governance,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-030],89,85,83,90,5,79,81.15,ACTIVE
AGT-148,Corporate Risk Agent,corporate_extended,risk,Vertical,73,Protector,Axel,Governance,,1-30,,,[GEN-030],87,83,81,88,5,77,79.05,ACTIVE
AGT-149,Corporate Culture Agent,corporate_extended,culture,Vertical,2,Lover,Liora,Content,,71-90,,,[GEN-030],86,82,80,87,5,76,78.20,ACTIVE
AGT-150,Corporate Sustainability Agent,corporate_extended,sustainability,Vertical,35,Healer,Seren,Sustainability,,91-100,,,[GEN-030],88,84,82,89,5,78,80.30,ACTIVE
AGT-151,Real Estate Valuation Agent,real_estate,valuation,Vertical,31,Scientist,Orion,Revenue,,141-155,,,[GEN-009,GEN-062],87,83,81,88,5,77,79.05,ACTIVE
AGT-152,Real Estate Closing Agent,real_estate,closing,Vertical,60,Advocate,Liora,Legal,,1-30,,,[GEN-009,GEN-061],89,85,83,90,5,79,81.15,ACTIVE
AGT-153,Social Services Volunteer Agent,social_services,volunteer,Vertical,5,Caregiver,Seren,Care,,51-70,,,[GEN-010],84,80,78,83,5,73,76.15,ACTIVE
AGT-154,Sports Sponsorship Agent,sports,sponsorship,Vertical,27,Merchant,Liora,Revenue,,141-155,,,[GEN-014,GEN-064],86,82,80,87,5,76,78.20,ACTIVE
AGT-155,Tech Security Agent,tech,security,Vertical,73,Protector,Axel,AI,,121-140,,,[GEN-015,GEN-065],90,86,85,91,5,80,82.85,ACTIVE
AGT-156,Tech Scaling Agent,tech,scaling,Vertical,18,Visionary,Nova,Operations,,141-155,,,[GEN-015,GEN-066],89,85,83,90,5,79,81.15,ACTIVE
AGT-157,Government Procurement Agent,government,procurement,Vertical,38,Builder,Nova,Operations,,141-155,,,[GEN-016,GEN-067],86,82,80,87,5,76,78.20,ACTIVE
AGT-158,Government Compliance Agent,government,compliance,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-016,GEN-068],88,84,82,89,5,78,80.30,ACTIVE
AGT-159,Social Services Case Agent,social_services,case_management,Vertical,5,Caregiver,Seren,Care,,51-70,,,[GEN-010,GEN-069],85,81,79,86,5,75,77.25,ACTIVE
AGT-160,Social Services Crisis Agent,social_services,crisis,Vertical,35,Healer,Seren,Crisis,,51-70,,,[GEN-010,GEN-070],90,86,85,91,5,80,82.85,ACTIVE
AGT-161,Creator Monetization Agent (Ext),creator,monetization_ext,Vertical,56,Catalyst,Alaric,Revenue,,141-155,,,[GEN-017,GEN-071],89,85,83,90,5,79,81.15,ACTIVE
AGT-162,Creator Analytics Agent (Ext),creator,analytics_ext,Vertical,31,Scientist,Orion,Analytics,,141-155,,,[GEN-017,GEN-072],90,86,85,91,5,80,82.85,ACTIVE
AGT-163,Legacy Wealth Transfer Agent,legacy,wealth_transfer,Vertical,42,Elder,Orion,Revenue,,141-155,,,[GEN-018,GEN-073],88,84,82,89,5,78,80.30,ACTIVE
AGT-164,Legacy Trust Agent (Ext),legacy,trust_ext,Vertical,67,Gatekeeper,Axel,Governance,,1-30,,,[GEN-018,GEN-074],90,86,85,91,5,80,82.85,ACTIVE
AGT-165,Beauty Product Testing Agent,beauty,product_testing,Vertical,31,Scientist,Orion,Content,,71-90,,,[GEN-019,GEN-075],87,83,81,88,5,77,79.05,ACTIVE
AGT-166,Beauty Supply Chain (Ext),beauty,supply_chain_ext,Vertical,38,Builder,Nova,Operations,,141-155,,,[GEN-019,GEN-076],88,84,82,89,5,78,80.30,ACTIVE
